timestamp,device,soil1,soil2,soil3,soil4,soil5,water_temperature,air_temperature,air_humidity,light_level
2025-03-20T10:16:59.310856,both_devices,21,11,20,23,100,-127,24.34769,31.01902,2.251467
2025-03-20T10:17:05.164457,both_devices,9,12,11,18,100,-127,24.36867,31.03647,2.251467
2025-03-20T10:17:11.026971,both_devices,8,10,9,19,100,-127,24.39632,31.26783,2.222227
2025-03-20T10:17:16.908492,both_devices,12,14,13,21,100,-127,24.41978,31.95906,2.207679
2025-03-20T10:17:22.772426,both_devices,13,12,14,21,100,-127,24.43027,31.57806,2.222227
2025-03-20T10:17:28.654194,both_devices,13,12,15,22,100,-127,24.44038,31.37875,2.067636
2025-03-20T10:17:34.527708,both_devices,7,8,9,14,100,-127,24.44611,31.1821,2.132799
2025-03-20T10:17:40.376446,both_devices,12,13,13,20,100,-127,24.4524,31.14891,2.078896
2025-03-20T10:17:46.250060,both_devices,10,13,12,21,100,-127,24.46194,31.06203,2.187392
2025-03-20T10:17:52.118818,both_devices,23,17,22,28,100,-127,24.4772,31.20823,2.242675
2025-03-20T10:17:58.016306,both_devices,14,14,15,22,100,-127,24.48502,31.29597,2.034039
2025-03-20T10:18:03.920404,both_devices,27,26,29,38,100,-127,24.49322,31.30264,2.216402
2025-03-20T10:18:09.806635,both_devices,23,21,24,34,100,-127,24.52126,31.23055,2.207679
2025-03-20T10:18:15.690205,both_devices,16,17,17,26,100,-127,24.52393,31.04506,2.222227
2025-03-20T10:18:21.578161,both_devices,31,27,33,41,100,-127,24.52869,30.93557,2.222227
2025-03-20T10:18:27.456551,both_devices,53,60,57,70,100,-127,24.53327,30.88484,2.207679
2025-03-20T10:18:35.363253,both_devices,33,29,35,44,100,-127,24.54681,30.97544,2.216402
2025-03-20T10:18:41.230919,both_devices,30,26,31,40,100,-127,24.5739,30.99728,2.239748
2025-03-20T10:18:47.094462,both_devices,28,23,30,37,100,-127,24.57924,30.88636,2.219314
2025-03-20T10:18:52.947559,both_devices,24,24,26,33,100,-127,24.58,30.78156,2.201873
2025-03-20T10:18:58.829415,both_devices,49,56,50,65,100,-127,24.58248,30.8012,2.319443
2025-03-20T10:19:04.697088,both_devices,36,40,39,47,100,-127,24.58591,30.77269,2.225142
2025-03-20T10:19:10.544491,both_devices,29,34,31,44,100,-127,24.58954,30.76496,2.222227
2025-03-20T10:19:16.398194,both_devices,21,19,23,29,100,-127,24.5842,30.70755,2.207679
2025-03-20T10:19:22.252074,both_devices,22,16,23,29,100,-127,24.58954,30.85575,2.207679
2025-03-20T10:19:28.123577,both_devices,10,6,10,15,100,-127,24.613,31.79779,2.236823
2025-03-20T10:19:33.970692,both_devices,22,25,25,32,100,-127,24.62292,31.74839,2.216402
2025-03-20T10:19:39.841742,both_devices,23,24,25,33,100,-127,24.6294,31.30503,2.22806
2025-03-20T10:19:45.700446,both_devices,12,12,14,19,100,-127,24.63608,31.14796,2.328383
2025-03-20T10:19:51.552943,both_devices,8,9,9,14,100,-127,24.63856,31.05373,2.115703
2025-03-20T10:19:57.412426,both_devices,10,10,13,16,100,-127,24.64027,30.98392,2.225142
2025-03-20T10:20:03.291077,both_devices,8,8,10,14,100,-127,24.64638,31.02436,2.210585
2025-03-20T10:20:09.160189,both_devices,10,10,11,16,100,-127,24.65324,31.11134,2.245603
2025-03-20T10:20:15.012233,both_devices,15,15,17,23,100,-127,24.66068,31.05593,2.239748
2025-03-20T10:20:20.862054,both_devices,15,14,17,23,100,-127,24.65839,31.02789,2.2339
2025-03-20T10:20:26.717872,both_devices,7,7,9,14,100,-127,24.6645,31.14023,2.2339
2025-03-20T10:20:32.572010,both_devices,6,9,11,14,100,-127,24.67136,31.22902,2.22806
2025-03-20T10:20:38.438845,both_devices,11,14,14,18,100,-127,24.67232,31.15015,2.213492
2025-03-20T10:20:44.293377,both_devices,11,11,14,18,100,-127,24.67651,31.20041,2.207679
2025-03-20T10:20:50.144547,both_devices,5,5,7,10,100,-127,24.67976,31.26011,2.207679
2025-03-20T10:20:56.006892,both_devices,11,9,12,15,100,-127,24.68224,31.18687,2.225142
2025-03-20T10:21:01.887299,both_devices,8,7,3,4,100,-127,24.68834,31.11973,2.198973
2025-03-20T10:21:07.770674,both_devices,8,10,10,15,100,-127,24.69616,31.13918,2.236823
2025-03-20T10:21:13.614829,both_devices,9,10,11,15,100,-127,24.69826,31.08959,2.204775
2025-03-20T10:21:19.466087,both_devices,7,7,10,13,100,-127,24.69788,31.0154,2.22806
2025-03-20T10:21:25.318842,both_devices,7,6,9,13,100,-127,24.70531,31.08215,2.216402
2025-03-20T10:21:31.173712,both_devices,4,5,6,10,100,-127,24.71066,31.15759,2.251467
2025-03-20T10:21:37.033445,both_devices,5,7,8,12,100,-127,24.71466,31.33411,2.207679
2025-03-20T10:21:42.886211,both_devices,4,6,6,10,100,-127,24.72496,31.3488,2.196075
2025-03-20T10:21:48.739755,both_devices,6,6,9,12,100,-127,24.73145,31.29358,2.251467
2025-03-20T10:21:54.598612,both_devices,5,7,7,11,100,-127,24.72973,31.24485,2.239748
2025-03-20T10:22:00.446024,both_devices,7,7,9,12,100,-127,24.73202,31.31008,2.207679
2025-03-20T10:22:06.307770,both_devices,11,12,13,18,100,-127,24.74003,31.35185,2.198973
2025-03-20T10:22:12.191856,both_devices,13,8,14,18,100,-127,24.74823,31.43225,2.301612
2025-03-20T10:22:18.044417,both_devices,7,6,9,12,100,-127,24.75662,31.53152,2.216402
2025-03-20T10:22:23.902875,both_devices,24,23,26,32,100,-127,24.76864,31.59819,2.245603
